#{"t_start": 1735310207.876689, "env_id": "BriscolaEpsGreedy-v0"}
r,l,t
-60.453611,14,9.940866
-44.898333,18,9.955868
-69.380278,13,9.966867
-72.09,15,9.980865
22.180556,20,9.999886
-42.349722,18,10.016888
-52.303611,18,10.030871
55.925556,17,10.044865
-56.193611,16,10.057865
-75.027778,16,10.071866
-62.851944,16,10.086865
-66.591667,10,10.097865
-47.088056,19,10.114865
-14.938611,17,10.128865
-45.258333,17,10.142865
-81.361944,11,10.152865
-42.08,18,10.166865
-38.770556,16,10.181874
-43.630833,20,10.198865
-71.071111,14,10.212866
-86.706944,10,10.220865
-76.303611,16,10.23587
-77.485556,15,10.248866
13.3175,20,10.266865
-51.665,16,10.280868
-67.123889,19,10.297867
-48.280833,19,10.314867
-61.134167,17,10.329865
-63.497778,16,10.342866
-41.701944,13,10.352866
-85.550833,16,10.366868
-56.918889,15,10.380868
22.2225,20,10.397865
25.578056,20,10.415865
-82.326111,11,10.425865
45.202778,19,10.440869
-68.033333,9,10.450868
-60.987222,18,10.466866
-81.186389,12,10.478871
-47.979167,18,10.503867
-70.6375,8,10.514869
-72.462778,13,10.528867
-66.98,13,10.541872
-58.719444,15,10.558869
19.576111,20,10.577865
27.713611,19,10.595865
-25.633056,20,10.614865
-81.464722,11,10.623865
-80.526944,16,10.640872
-31.050278,17,10.657873
-73.816389,10,10.664872
-68.610278,17,10.678873
-9.777778,20,10.696871
47.686944,18,10.712873
5.543611,20,10.730865
-30.309444,18,10.747868
-46.993056,18,10.767872
-46.6675,17,10.783882
14.836111,20,10.802867
-34.948611,19,10.821874
-52.142222,15,10.835865
-47.017222,18,10.850866
-57.678056,15,10.865865
-63.673333,13,10.880867
-32.592222,20,10.897865
-16.489722,18,10.914865
-77.794167,8,10.921865
-73.672778,13,10.932868
-79.233333,14,10.942865
-40.449444,20,10.959867
-86.418056,18,10.978867
59.785833,11,10.990866
-72.87,14,11.002866
-61.233611,17,11.018866
-32.300556,15,11.032865
-78.579722,14,11.04687
-56.853333,17,11.062871
52.671944,14,11.075872
-14.221944,19,11.09687
-88.661944,12,11.108866
-37.520556,20,11.125869
-66.806667,14,11.142868
-75.557222,16,11.157866
-62.161944,15,11.169866
-14.599167,16,11.184865
24.5875,18,11.201867
34.247222,19,11.219867
33.199167,18,11.235866
-32.219722,20,11.252866
-58.653889,12,11.262866
-53.451667,18,11.278866
-2.505556,20,11.295869
-69.651111,15,11.306866
-67.394722,20,11.324866
-58.340278,15,11.337866
-28.6375,19,11.354866
-40.165556,19,11.372869
-64.46,13,11.383866
6.246111,20,11.401872
-54.021944,18,11.417882
-70.400556,18,11.436883
19.234444,19,11.455871
-51.194167,12,11.466866
-55.913611,19,11.484869
-49.673611,17,11.503869
33.479722,19,11.520865
16.895556,19,11.538865
35.515833,18,11.554865
-35.188056,15,11.565865
-46.885833,18,11.582865
34.160278,18,11.595869
-60.605833,14,11.610865
19.794167,20,11.627866
-75.434167,12,11.637865
-72.421667,15,11.650867
-39.404722,19,11.666866
78.544167,15,11.682866
-60.254722,19,11.701866
-60.059722,18,11.716866
-48.58,14,11.730867
-22.071667,20,11.749867
45.369167,15,11.763869
28.138611,20,11.780867
-102.795,14,11.79187
-47.284167,16,11.806866
-72.109167,14,11.820866
-57.267222,15,11.832867
-45.413056,18,11.849868
37.508333,19,11.869865
-43.773889,11,11.879866
-80.446389,13,11.894866
-63.793333,17,11.909868
-14.288611,20,11.932866
-32.459722,19,11.951867
-13.541111,20,11.970866
-36.039722,16,11.984866
-79.683333,11,11.993866
-53.472222,15,12.009866
-56.401111,17,12.024867
3.041944,20,12.041867
-79.036944,10,12.051867
42.363611,20,12.068869
52.445278,13,12.079867
-51.303889,16,12.093868
-53.597222,16,12.108867
-41.245556,18,12.125866
49.514167,20,12.146868
-44.651667,16,12.160866
-82.085278,14,12.171867
-54.982778,17,12.184866
20.444444,18,12.201866
-90.982778,12,12.211868
-57.615278,16,12.224866
-45.073333,15,12.24087
-38.328333,20,12.259866
12.659444,20,12.279866
-46.437222,18,12.295865
-66.206389,14,12.311868
-28.574167,18,12.327884
-77.258056,11,12.339873
-97.202778,13,12.350872
-45.453889,15,12.366866
-46.895556,16,12.380867
-33.966944,18,12.394866
29.372222,19,12.413866
11.931111,20,12.432865
50.298611,17,12.447865
-45.234167,15,12.462865
-0.138889,20,12.479867
-51.436111,19,12.497866
-59.671667,13,12.507865
77.593889,12,12.518867
-45.580556,13,12.530865
-88.741111,15,12.544866
-50.854722,15,12.557866
79.619167,13,12.568866
64.635833,19,12.585866
81.694167,10,12.594866
-42.891944,16,12.608866
-46.064722,17,12.624867
6.861667,20,12.642866
21.058889,19,12.657867
-28.841667,20,12.674865
45.029722,15,12.688865
-47.551389,20,12.705865
14.450833,20,12.723865
-63.679722,11,12.733865
41.109444,20,12.750865
-41.128056,20,12.768866
-66.1525,16,12.782866
-48.8875,16,12.79887
-74.936389,12,12.811871
-25.900556,19,12.832871
-55.551667,17,12.848866
-36.045556,16,12.864865
-50.555278,17,12.880873
-59.080556,16,12.897865
-88.386389,9,12.905865
-58.310278,12,12.917873
-26.992222,20,12.939865
-33.415556,17,12.959866
-37.458333,19,12.976865
13.579167,20,12.995865
-0.295833,20,13.016873
-42.337778,18,13.036865
-88.144444,9,13.044865
-68.8875,17,13.062866
20.877222,20,13.08687
-46.723333,17,13.104867
7.378333,20,13.123868
-47.911389,15,13.135865
-63.265,17,13.154865
36.034722,19,13.171869
-70.337778,15,13.186866
-81.150833,13,13.197869
-65.335,16,13.213871
-50.659444,18,13.231873
1.575833,20,13.250865
-57.936944,15,13.265865
-75.877778,14,13.277865
-39.186944,18,13.296866
69.269167,20,13.315866
67.991111,16,13.330865
-62.580556,13,13.342874
34.813056,19,13.362866
-98.417778,15,13.375865
16.193056,20,13.394866
-62.878611,17,13.413871
36.568611,16,13.430867
-47.824444,17,13.446875
17.586111,19,13.466868
-73.336944,14,13.479867
-57.581389,16,13.49487
59.111667,13,13.505883
-69.198056,15,13.520875
54.161111,15,13.534874
-87.013611,18,13.55087
-42.769722,15,13.565866
66.421111,18,13.58587
-49.456111,15,13.599871
-65.083611,12,13.612874
-39.8175,19,13.630872
-79.796944,11,13.64287
-35.445278,18,13.659872
40.914722,18,13.67887
-49.267778,16,13.694866
-69.177222,14,13.707865
-72.245833,17,13.725865
2.8625,20,13.742868
39.000556,19,13.763868
52.624167,14,13.780865
-51.195556,18,13.800876
-64.861389,14,13.82388
-34.956944,18,13.846876
-46.862778,18,13.870882
37.7825,20,13.897884
60.004444,17,13.91988
11.688056,20,13.946867
-50.849722,18,13.971874
21.849722,20,13.994866
-68.3525,17,14.013865
-82.098889,14,14.032879
-60.753333,17,14.053876
-65.245,14,14.067873
-64.260833,19,14.092875
-40.050833,18,14.114878
-24.983611,18,14.139876
-22.693611,20,14.164875
8.1525,19,14.187866
53.224722,18,14.205865
-32.285278,19,14.223865
-48.622778,18,14.239865
30.45,20,14.257866
-81.752222,15,14.271869
-42.616111,14,14.285865
45.254722,19,14.301865
-0.418611,20,14.320881
-55.081667,11,14.331865
-87.971389,17,14.346865
-15.314444,20,14.368878
-25.226667,18,14.392867
22.137222,19,14.418885
52.613056,18,14.440866
2.165,20,14.463866
30.206111,20,14.484865
-67.274167,12,14.497865
38.716111,17,14.514866
-4.683889,20,14.536875
21.759444,19,14.558866
-69.706389,13,14.573877
61.250278,13,14.591872
-43.4525,19,14.613871
-62.380278,15,14.63587
-107.398611,16,14.655874
-39.807222,17,14.673866
2.444444,20,14.69487
-63.722222,16,14.713875
29.808611,17,14.739877
-57.848056,16,14.758873
-68.833056,12,14.771869
-14.618333,20,14.791871
43.169167,14,14.803875
-58.138611,15,14.823866
-50.472778,18,14.840867
16.683056,20,14.863882
-72.495,18,14.886867
-58.608333,14,14.898878
91.614167,13,14.915866
-40.421111,18,14.932866
-68.945278,14,14.947866
-61.955833,14,14.95987
-65.178611,15,14.974866
26.644444,19,14.992866
-18.573056,17,15.008867
48.0175,17,15.021868
-64.055278,18,15.039877
-78.252778,10,15.048876
-63.990556,11,15.062866
-53.605833,18,15.084875
45.302778,17,15.105881
36.349722,20,15.12987
